Prey,Predator,PreyMass,PredatorMass
Bosmina longirostris,Tropocyclops prasinus,1.55e-06,6.85e-06
Conochiloides unicornis,Tropocyclops prasinus,3.18e-07,6.85e-06
Keratella taurocephala,Tropocyclops prasinus,1e-08,6.85e-06
Trichocerca cylindrica,Tropocyclops prasinus,2.5e-07,6.85e-06
Kelicottia longispina,fish fry,2e-08,0.016
Polyarthra major,fish fry,8.55e-07,0.016
Bosmina longirostris,Luxilus cornutus,1.55e-06,8
Conochiloides unicornis,Luxilus cornutus,3.18e-07,8
Kelicottia longispina,Luxilus cornutus,2e-08,8
Keratella taurocephala,Luxilus cornutus,1e-08,8
Bosmina longirostris,Semotilus atromaculatus,1.55e-06,51
Kelicottia longispina,Semotilus atromaculatus,2e-08,51
Keratella crassa,Semotilus atromaculatus,1.89e-06,51
Cyclops bicuspidatus,Semotilus corporalis,2.24e-05,61
Kelicottia longispina,Semotilus corporalis,2e-08,61
Polyarthra major,Semotilus corporalis,8.55e-07,61
Catostomus commersoni,Salvelinus fontinalis small,261,188
Luxilus cornutus,Salvelinus fontinalis small,8,188
Luxilus cornutus,Oncorhynchus mykiss,8,200
Oncorhynchus mykiss,Salvelinus fontinalis large,200,2100
