Prey,Predator,PreyMass,PredatorMass
amoebae,predacious nematodes,2.8e-08,3.56e-06
fungivorous nematodes,predacious nematodes,5.35e-07,3.56e-06
Folsomia quadrioculata,Rhodacarellus kreuzi,5.41e-06,7.04e-06
Ceratophysella sp.,Lithobius sp3 {xs},5.96e-06,7.96e-06
Folsomia quadrioculata,Lysigamasus jugincola,5.41e-06,2.1e-05
Folsomia quadrioculata,Lysigamasus truncellus,5.41e-06,2.12e-05
Isotomiella minor,Lysigamasus truncellus,3.27e-06,2.12e-05
Isotomiella minor,Lysigamasus minorleitneriae,3.27e-06,2.32e-05
Atropacarus striculus,Lithobius sp1 {s},2.49e-05,4.11e-05
Isotomiella minor,Lithobius sp1 {s},3.27e-06,4.11e-05
Lepidocyrtus lanuginosus,Veigaia nemorensis,8.99e-06,4.83e-05
Lysigamasus truncellus,Veigaia nemorensis,2.12e-05,4.83e-05
Sminthurinus aureus,Veigaia nemorensis,5.1e-06,4.83e-05
mykorrhiza,omnivorous nematodes,-999,6.02e-05
Lepidocyrtus cyaneus,Vulgarogamasus kraepelini,8.99e-06,0.000101723
Lepidocyrtus lanuginosus,Vulgarogamasus kraepelini,8.99e-06,0.000101723
Mesaphorura sylvatica,Vulgarogamasus kraepelini,1.46e-05,0.000101723
Atropacarus striculus,Lithobius sp2 {l},2.49e-05,0.000157031
Diplostyla concolor,Lithobius sp2 {l},0.001495787,0.000157031
Dissorhina ornata,Lithobius sp2 {l},1.17e-05,0.000157031
Folsomia quadrioculata,Lithobius sp2 {l},5.41e-06,0.000157031
Isotomiella minor,Lithobius sp2 {l},3.27e-06,0.000157031
Linyphiidae cf Erigoniinae (juv) {m},Lithobius sp2 {l},0.000220271,0.000157031
Ceratophysella sp.,Linyphiidae cf Erigoniinae (juv) {m},5.96e-06,0.000220271
Achipteria coleoptrata,Lithobius aeruginosus (juv),5e-05,0.000229612
Campodea sp. {l},Lithobius aeruginosus (juv),0.002292383,0.000229612
Lysigamasus truncellus,Maro minutus,2.12e-05,0.000319337
Aleocharinae sp1 (juv),Robertus sp. (juv) {m},0.000349987,0.00037098
Linyphiidae cf Erigoniinae (juv) {m},Robertus sp. (juv) {m},0.000220271,0.00037098
Lysigamasus minorleitneriae,Robertus sp. (juv) {m},2.32e-05,0.00037098
Mesaphorura sylvatica,Robertus sp. (juv) {m},1.46e-05,0.00037098
Neanura muscorum,Robertus sp. (juv) {m},1.26e-05,0.00037098
Achipteria coleoptrata,Lithobius sp. (juv) {m},5e-05,0.000467176
Atropacarus striculus,Lithobius sp. (juv) {m},2.49e-05,0.000467176
Chordeuma silvestre,Lithobius sp. (juv) {m},0.002669535,0.000467176
Hungarobelba pyrenaica,Lithobius sp. (juv) {m},2.23e-05,0.000467176
Lepidocyrtus sp. (juv),Linyphiidae (juv),8.99e-06,0.000519895
Lithobius sp1 {s},Othius sp. (juv) {s},4.11e-05,0.000543988
Lithobius sp3 {xs},Othius sp. (juv) {s},7.96e-06,0.000543988
Lysigamasus jugincola,Othius sp. (juv) {s},2.1e-05,0.000543988
Megalothorax minimus,Othius sp. (juv) {s},1.52e-05,0.000543988
Megalothorax minimus,Tapinocyba pallens,1.52e-05,0.000732341
Mesaphorura sylvatica,Tapinocyba pallens,1.46e-05,0.000732341
Neanura muscorum,Tapinocyba pallens,1.26e-05,0.000732341
Scutigerella immaculata {m},Tapinocyba pallens,0.000203722,0.000732341
Achipteria coleoptrata,Geophilus ribauti (juv),5e-05,0.001222346
Atropacarus striculus,Geophilus ribauti (juv),2.49e-05,0.001222346
Centromerus brevivulvatus,Geophilus ribauti (juv),0.000600973,0.001222346
Athous sp. (juv),Diplostyla concolor,0.000875669,0.001495787
Allaiulus nitidus (juv) {l},Neobisium sp.,0.001395388,0.001603525
Geophilus ribauti (juv),Neobisium sp.,0.001222346,0.001603525
Lysigamasus truncellus,Neobisium sp.,2.12e-05,0.001603525
Allaiulus nitidus {xl},Lithobius cf. mutabilis (juv),0.00468865,0.001784674
Amaurobius sp. (juv),Lithobius cf. mutabilis (juv),0.012068147,0.001784674
Clubionidae (juv),Lithobius cf. mutabilis (juv),0.003435355,0.001784674
Elateridae sp1 (juv) {l},Lithobius cf. mutabilis (juv),0.01092301,0.001784674
Hungarobelba pyrenaica,Lithobius cf. mutabilis (juv),2.23e-05,0.001784674
Diplocephalus picinus,Microneta viaria,0.001612679,0.001863227
Diplostyla concolor,Microneta viaria,0.001495787,0.001863227
Diplostyla concolor (juv),Microneta viaria,0.000208771,0.001863227
Lysigamasus minorleitneriae,Microneta viaria,2.32e-05,0.001863227
Centromerus cavernarum,Gyrohypnus sp. (juv),0.000585898,0.001929925
Atropacarus striculus,Lithobius aeruginosus {l},2.49e-05,0.002201557
Centromerus brevivulvatus,Lithobius aeruginosus {l},0.000600973,0.002201557
Diplostyla concolor (juv),Lithobius aeruginosus {l},0.000208771,0.002201557
Elateridae sp1 (juv) {l},Lithobius aeruginosus {l},0.01092301,0.002201557
Hungarobelba pyrenaica,Lithobius aeruginosus {l},2.23e-05,0.002201557
Campodea sp. {l},Euophrys frontalis,0.002292383,0.00313298
Coleoptera sp.,Euophrys frontalis,0.001535648,0.00313298
Diplostyla concolor (juv),Euophrys frontalis,0.000208771,0.00313298
Aleocharinae sp1 (juv),Clubionidae (juv),0.000349987,0.003435355
Achipteria coleoptrata,Lithobius sp.,5e-05,0.00359344
Allaiulus nitidus {xl},Lithobius sp.,0.00468865,0.00359344
Athous haemorrhoidalis (juv),Lithobius sp.,0.011601014,0.00359344
Diplostyla concolor (juv),Lithobius sp.,0.000208771,0.00359344
Glomeris sp.,Lithobius sp.,0.16153,0.00359344
Linyphiidae (juv),Lithobius sp.,0.000519895,0.00359344
Linyphiidae cf Erigoniinae (juv) {m},Lithobius sp.,0.000220271,0.00359344
Diplostyla concolor (juv),Staphylinidae spec,0.000208771,0.004003596
Enchytraeidae,Staphylinidae spec,-999,0.004003596
Lithobius sp2 {l},Staphylinidae spec,0.000157031,0.004003596
Microneta viaria,Staphylinidae spec,0.001863227,0.004003596
Robertus sp. (juv) {m},Staphylinidae spec,0.00037098,0.004003596
Scolopendrella cf. subnuda {m},Staphylinidae spec,0.000200929,0.004003596
Achipteria coleoptrata,Geophilus ribauti,5e-05,0.004253993
Centromerus brevivulvatus,Geophilus ribauti,0.000600973,0.004253993
Achipteria coleoptrata,Lithobius mutabilis,5e-05,0.004660424
Harpactea lepida (juv) large,Lithobius mutabilis,0.004962887,0.004660424
Centromerus brevivulvatus,Harpactea lepida (juv) large,0.000600973,0.004962887
Euophrys frontalis,Harpactea lepida (juv) large,0.00313298,0.004962887
Allaiulus nitidus {xl},Lithobius aulacopus,0.00468865,0.005282779
Athous sp. (juv),Lithobius tricuspis,0.000875669,0.00559683
Centromerus cavernarum,Lithobius tricuspis,0.000585898,0.00559683
Clubionidae (juv),Lithobius tricuspis,0.003435355,0.00559683
Nargus anisotomoides,Walckenaeria furcillata,0.001385543,0.005864909
Scolopendrella cf. subnuda {m},Walckenaeria furcillata,0.000200929,0.005864909
Trichoniscus pusillus {m},Walckenaeria furcillata,0.000404192,0.005864909
Centromerus brevivulvatus,Geophilus studeri (juv),0.000600973,0.006076453
Nargus anisotomoides,Strigamia acuminata,0.001385543,0.006997365
